epimutation_rate_estimation alpha beta weight intercept value
Nelder-Mead1523 0.000712405646973555 0.00159371921406705 0.0280261048769928 0.00225010878822163 0.000175146424475178
Nelder-Mead409 0.000712383496530804 0.00159367943232331 0.0280287666654856 0.00225006115891649 0.000175146462634551
Nelder-Mead757 0.000712283151021856 0.00159344769817389 0.0280216510507273 0.00225162207532881 0.000175146478775671
Nelder-Mead911 0.000712315132687342 0.00159351087133766 0.0280293761579147 0.00225080827127201 0.000175146487610446
Nelder-Mead171 0.000712189903788395 0.00159323130884647 0.0280499903373319 0.00224993757396229 0.000175146490868049
Nelder-Mead1030 0.000712260511907609 0.00159339348640709 0.0280189487429666 0.00225195095843874 0.000175146529796478
Nelder-Mead724 0.00071233935066976 0.00159357884080576 0.0280301142297336 0.00225141261143943 0.000175146547183582
Nelder-Mead528 0.000712307444058263 0.00159349631406324 0.0280547522188071 0.00224718277399317 0.000175146573249806
Nelder-Mead594 0.000712349286571961 0.00159359527607298 0.0280210109722412 0.00225240435727582 0.000175146578362553
Nelder-Mead244 0.00071215427047155 0.00159314787204146 0.0280389911867521 0.00225081079480305 0.000175146587253493
