time0 time1 time2 D.value
0 0 1 0.00606
Inf 0 1 0.00642
0 0 2 0.00639
Inf 0 2 0.00809
0 0 4 0.00888
Inf 0 4 0.01039
0 0 5 0.00911
Inf 0 5 0.00999
0 0 8 0.01149
Inf 0 8 0.01356
Inf 0 11 0.01422
Inf 0 11 0.01901
Inf 1 1 0.00759
1 1 2 0.00611
Inf 1 2 0.00928
1 1 4 0.00866
Inf 1 4 0.01181
1 1 5 0.00873
Inf 1 5 0.01129
1 1 8 0.01125
Inf 1 8 0.01489
Inf 1 11 0.01401
Inf 1 11 0.02021
Inf 1 2 0.01014
Inf 1 2 0.00483
Inf 1 4 0.01224
Inf 1 4 0.00747
Inf 1 5 0.01195
Inf 1 5 0.00717
Inf 1 8 0.0143
Inf 1 8 0.01098
Inf 1 11 0.01685
Inf 1 11 0.01645
Inf 2 2 0.0117
2 2 4 0.00677
Inf 2 4 0.01426
2 2 5 0.00691
Inf 2 5 0.01362
2 2 8 0.00948
Inf 2 8 0.01728
Inf 2 11 0.01261
Inf 2 11 0.02272
Inf 2 4 0.01389
Inf 2 4 0.00699
Inf 2 5 0.01353
Inf 2 5 0.00727
Inf 2 8 0.01587
Inf 2 8 0.01113
Inf 2 11 0.01849
Inf 2 11 0.01666
Inf 4 4 0.01616
4 4 5 0.00532
Inf 4 5 0.01515
4 4 8 0.0082
Inf 4 8 0.01876
Inf 4 11 0.01131
Inf 4 11 0.02429
Inf 4 5 0.01583
Inf 4 5 0.00501
Inf 4 8 0.01806
Inf 4 8 0.00927
Inf 4 11 0.02069
Inf 4 11 0.01498
Inf 5 5 0.01452
5 5 8 0.00413
Inf 5 8 0.01816
Inf 5 11 0.00759
Inf 5 11 0.02369
Inf 5 8 0.01686
Inf 5 8 0.0046
Inf 5 11 0.01938
Inf 5 11 0.0101
Inf 8 8 0.02031
Inf 8 11 0.0048
Inf 8 11 0.02603
Inf 8 11 0.02289
Inf 8 11 0.00756
Inf 11 11 0.02818
