time0 time1 time2 D.value
0 0 1 0.00606
0 0 1 0.00642
0 0 2 0.00639
0 0 2 0.00809
0 0 4 0.00888
0 0 4 0.01039
0 0 5 0.00911
0 0 5 0.00999
0 0 8 0.01149
0 0 8 0.01356
0 0 11 0.01422
0 0 11 0.01901
0 1 1 0.00759
1 1 2 0.00611
0 1 2 0.00928
1 1 4 0.00866
0 1 4 0.01181
1 1 5 0.00873
0 1 5 0.01129
1 1 8 0.01125
0 1 8 0.01489
1 1 11 0.01401
0 1 11 0.02021
0 1 2 0.01014
1 1 2 0.00483
0 1 4 0.01224
1 1 4 0.00747
0 1 5 0.01195
1 1 5 0.00717
0 1 8 0.0143
1 1 8 0.01098
0 1 11 0.01685
1 1 11 0.01645
0 2 2 0.0117
2 2 4 0.00677
0 2 4 0.01426
2 2 5 0.00691
0 2 5 0.01362
2 2 8 0.00948
0 2 8 0.01728
2 2 11 0.01261
0 2 11 0.02272
0 2 4 0.01389
2 2 4 0.00699
0 2 5 0.01353
2 2 5 0.00727
0 2 8 0.01587
2 2 8 0.01113
0 2 11 0.01849
2 2 11 0.01666
0 4 4 0.01616
4 4 5 0.00532
0 4 5 0.01515
4 4 8 0.0082
0 4 8 0.01876
4 4 11 0.01131
0 4 11 0.02429
0 4 5 0.01583
4 4 5 0.00501
0 4 8 0.01806
4 4 8 0.00927
0 4 11 0.02069
4 4 11 0.01498
0 5 5 0.01452
5 5 8 0.00413
0 5 8 0.01816
5 5 11 0.00759
0 5 11 0.02369
0 5 8 0.01686
5 5 8 0.0046
0 5 11 0.01938
5 5 11 0.0101
0 8 8 0.02031
8 8 11 0.0048
0 8 11 0.02603
0 8 11 0.02289
8 8 11 0.00756
0 11 11 0.02818
